state;year;ratio
Alabama;1970;14.139856830320266
Alaska;1970;35.288399438048884
Arizona;1970;56.80727313795246
Arkansas;1970;1.715805427664503
California;1970;9.767889094515178
Colorado;1970;10.87321424445432
Connecticut;1970;3.8262247465043644
Delaware;1970;48.895829988469345
District Of Columbia;1970;45.60415592655748
Florida;1970;21.283041922584815
Georgia;1970;0.3921931769281469
Hawaii;1970;24.98175161112781
Idaho;1970;13.753092691634611
Illinois;1970;29.6293603657233
Indiana;1970;5.525958623855313
Iowa;1970;31.653009372689755
Kansas;1970;3.3829228275181187
Kentucky;1970;33.243172877547686
Louisiana;1970;8.485966298904843
Maine;1970;42.43746270341757
Maryland;1970;35.48848549063978
Massachusetts;1970;15.907417074898447
Michigan;1970;20.49558297088602
Minnesota;1970;1.2877890527943576
Mississippi;1970;6.224874961207301
Missouri;1970;16.657753307440757
Montana;1970;16.416837915407203
Nebraska;1970;53.05046939891189
Nevada;1970;4.296780688221501
New Hampshire;1970;8.675836845465723
New Jersey;1970;23.85548098508907
New Mexico;1970;29.724409448818896
New York;1970;8.59792091524868
North Carolina;1970;19.932865793175562
North Dakota;1970;51.961842848609734
Ohio;1970;37.96464087505681
Oklahoma;1970;31.337562992604415
Oregon;1970;21.75591772916034
Pennsylvania;1970;17.788843376695546
Rhode Island;1970;11.619002350207294
South Carolina;1970;24.62829799159704
South Dakota;1970;15.9277062450132
Tennessee;1970;13.915483064780652
Texas;1970;74.36992764851881
Utah;1970;3.6817704217892837
Vermont;1970;2.02552157180474
Virginia;1970;53.04943923774022
Washington;1970;19.887544442648633
West Virginia;1970;20.008748811084732
Wisconsin;1970;31.328299527517633
Wyoming;1970;3.3091066615325375
